number,check,korean,hanja,japanese,english,example,translation
232,,기차역,汽車驛,汽車駅,train station,기차역에 도착하다,arrive at the train station
233,,기차표,汽車票,汽車票,train ticket,기차표를 끊다,punch a train ticket
234,,기침,,,cough,기침이 나다,have a cough
235,,기타,其他,其他,other,기타를 치다,play a guitar
236,,기회,機會,機会,opportunity,기회를 놓치다,miss an opportunity
237,,긴장,緊張,緊張,tension,긴장을 풀다,relieve tension
238,,길,,,"street, road",길이 막히다,the road is blocked
239,,길다,,,long,다리가 길다,have long legs
240,,길이,,,length,길이를 재다,measure the length
241,,김,,,"laver, seaweed",김을 먹다,eat seaweed
242,,김밥,,,kimbap,김밥을 싸다,wrap kimbap
243,,김치,,,kimchi,김치를 담그다,make kimchi
244,,김치찌개,,,kimchi stew,김치찌개를 끓이다,cook kimchi stew
245,,깊다,,,deep,바다가 깊다,the sea is deep
246,,깊이,,,depth,깊이 묻다,bury something deep
247,,까만색,,,black color,색깔,color
248,,까맣다,,,black,밤하늘이 까맣다,night sky is black
249,,깎다,,,cut,사과를 깎다,peel an apple
250,,깜짝,,,surprise,깜짝 놀라다,be surprised
251,,깨끗이,,,clean,깨끗이 씻다,wash cleanly
252,,깨끗하다,,,clean,옷이 깨끗하다,clothes are clean
253,,깨다,,,wake up,잠이 깨다,be awake from sleep
254,,꺼내다,,,take out,가방에서 꺼내다,take out of bag
255,,껌,,,chewing gum,껌을 씹다,chew gum
256,,꼭,,,surely,꼭 필요하다,absolutely necessary
257,,꽃,,,flower,꽃이 피다,flowers bloom
258,,꽃다발,,,bouquet,꽃다발을 선물하다,present a bouquet
259,,꽃병,,,vase,꽃병을 깨뜨리다,break a vase
260,,꽃집,,,"florist, flower shop",꽃집을 열다,open a flower shop
261,,꾸다,,,dream,꿈을 꾸다,to dream
262,,꿈,,,a dream,꿈을 꾸다,to dream
263,,끄다,,,turn off,불을 끄다,turn off the light
264,,끊다,,,quit,담배를 끊다,quite smoking
265,,끓다,,,(sth) boil,물이 끓다,water boils
266,,끓이다,,,boil (sth),물을 끓이다,boil water
267,,끝,,,end,시작,start
268,,끝나다,,,"(sth) end, finish",수업이 끝나다,class is over
269,,끝내다,,,finish (sth),일을 끝내다,finish one's work
270,,끼다,,,wear,반지를 끼다,wear a ring
271,,나,,,I,나와 너,you and I
272,,나가다,,,go out,밖으로 나가다,go outside
273,,나누다,,,"divide, split",둘로 나누다,split in two
274,,나다,,,happen,수염이 나다,have a beard
275,,나라,,,country,우리 나라,our country
276,,나머지,,,"remainder, the rest",나머지 돈,the money left
277,,나무,,,tree,나무를 심다,plant a tree
278,,나쁘다,,,bad,공기가 나쁘다,the air is bad
279,,나오다,,,come out,밖에 나오다,come out
280,,나이,,,age,나이가 많다,be old
281,,나중,,,later,나중에 깨닫다,realize later
282,,나타나다,,,appear,건물이 나타나다,a building appears
283,,나흘,,,four days,나흘이 걸리다,take four days
284,,낚시,,,fishing,낚시를 가다,go fishing
285,,날,,,day,마지막 날,last day
286,,날다,,,fly,새가 날다,a bird flies
287,,날씨,,,weather,날씨가 좋다,weather is good
288,,날씬하다,,,slim,몸매가 날씬하다,have a slim body
289,,날아다니다,,,fly around,나비가 날아다니다,a butterfly flies around
290,,날짜,,,date,날짜를 정하다,set a date
291,,남,,,other,타인,others
292,,남기다,,,leave,음식을 남기다,leave some food
293,,남녀,男女,男女,male and female,남녀 평등,gender equality
294,,남다,,,"remain, be left",시간이 남다,have time left
295,,남대문,南大門,南大門,Namdaemun,고적,historical site
296,,남동생,,,brother,남동생을 돌보다,take care of younger brother
297,,남산,南山,南山,Namsan,지명,place name
298,,남성,男性,男性,male,여성,female
299,,남자,男子,男子,man,여자,woman
300,,남쪽,南,南,South,북쪽,North
301,,남편,男便,夫,husband,아내,wife
302,,남학생,男學生,男学生,male student,여학생,female student
303,,낫다,,,"recover, be better",병이 낫다,get better
304,,낫다,,,better,더 낫다,much better
305,,낮,,,daytime,밤,night
306,,낮다,,,low,산이 낮다,the mountain is low
307,,낮잠,,,nap,낮잠을 자다,take a nap
308,,내,,,my,내가 했다,I did it
309,,내과,內科,内科,internal medicine,내과 병원,internal medical hospital
310,,내년,來年,来年,next year,내년 여름,next summer
311,,내다,,,"give, set",문제를 내다,give a question
312,,내려가다,,,go down,아래로 내려가다,go down
313,,내려오다,,,come down,아래로 내려오다,come down
314,,내리다,,,"get off, fall",비가 내리다,it's raining
315,,내용,內容,内容,content,수업 내용,class content
316,,내일,,,tomorrow,내일로 미루다,postpone until tomorrow
317,,냄비,,,pot,냄비에 끓이다,boil in a pot
318,,냄새,,,smell,냄새를 맡다,"smell, sniff"
319,,냉면,冷麵,冷麺,cold noodle,냉면을 먹다,eat cold noodles
320,,냉장고,冷藏庫,冷蔵庫,refrigerator,냉장고에 넣다,put in the refrigerator
321,,너,,,you,나,I
322,,너무,,,too,너무 심하다,pretty harsh
323,,너희,,,your,너희 가족,your family
324,,넓다,,,wide,집이 넓다,the house is spacious
325,,넘다,,,over,세 시간이 넘다,over three hours
326,,넘어지다,,,fall down,자전거가 넘머지다,the bike falls down
327,,넣다,,,"put, place, lay",책을 넣다,place a book
328,,네,,,you,네가,you
329,,네,,,four,숫자,number
330,,네,,,yes,대답,answer
331,,넥타이,,,necktie,넥타이를 매다,wear a necktie
332,,넷,,,four,숫자,number
333,,넷째,,,fourth,넷째 시간,fourth hour
334,,년,年,年,year,25년,25 years
335,,노란색,,,yellow color,색깔,color
336,,노랗다,,,yellow,병아리가 노랗다,chickens are yellow
337,,노래,,,song,노래를 부르다,sing a song
338,,노래방,,,karaoke,노래방에 가다,go to karaoke
339,,노력,努力,努力,effort,노력을 하다,make a effort
340,,노인,老人,老人,old man,노인을 공경하다,respect the elderly
341,,노트,,,note,노트에 쓰다,write in notebook
342,,녹색,綠色,緑色,green,색깔,color
343,,녹차,綠茶,緑茶,green tea,녹차를 마시다,drink green tea
344,,놀다,,,play,친구와 놀다,play with friends
345,,놀라다,,,surprised,깜짝 놀라다,to be surprised
346,,놀이,,,"play, game",인형 놀이,playing with dolls
347,,농구,籠球,籠球,basketball,농구 경기,basketball game
348,,농담,弄談,冗談,joke,농담을 주고받다,exchange jokes
349,,높다,,,high,산이 높다,mountain is high
350,,높이,,,height,높이가 높다,the height is high
351,,높이,,,"high, highly",높이 날다,fly high in the sky
352,,놓다,,,"put, lay down",펜을 놓다,put a pen down
353,,누구,,,who,거기 누구 계세요?,who's there?
354,,누나,,,sister,사촌 누나,my cousin sister
355,,누르다,,,press,버튼을 누르다,press the button
356,,눈,,,eye,눈이 작다,have small eyes
357,,눈,,,snow,날씨,weather
358,,눈물,,,tears,눈물이 흐르다,tears flow
359,,눕다,,,lie down,바닥에 눕다,lie on the floor
360,,뉴스,,,news,뉴스를 보다,watch the news
361,,느끼다,,,feel,추위를 느끼다,feel the cold
362,,느낌,,,feeling,느낌이 좋다,have a good feeling
363,,느리다,,,slow,걸음이 느리다,be slow in walking
364,,늘,,,"always, all the time",늘 만나다,always meet
365,,늘다,,,increase,면적이 늘다,increase in area
366,,늙다,,,old,사람이 늙다,a person is old
367,,능력,能力,能力,ability,능력이 있다,have capability
368,,늦다,,,late,시계가 늦다,the clock is late
369,,다,,,all,모두,all
370,,다녀오다,,,be back,학교에 다녀오다,go back to school
371,,다니다,,,to go,회사에 다니다,go to work
372,,다르다,,,different,모양이 다르다,the shape is different
373,,다른,,,different,다른 나라,other countries
374,,다리,,,leg,다리가 길다,have long legs
375,,다리,,,bridge,다리를 건너다,cross the brigde
376,,다림질,,,ironing,다림질을 하다,iron
377,,다섯,,,five,다섯 개,five (units)
378,,다섯째,,,fifth,다섯째 사람,fifth person
379,,다시,,,again,다시 시작하다,start again
380,,다양,多樣,多様,various,다양한 방법,various methods
381,,다음,,,next,다음 날,next day
382,,다음날,,,next day,다음날에 만나다,meet next day
383,,다이어트,,,diet,다이어트에 성공하다,succeed in dieting
384,,다치다,,,hurt,팔을 다치다,injure one's arm
385,,다하다,,,fulfill,기력이 다하다,run out of energy
386,,닦다,,,polish,구두를 닦다,polish shoes
387,,단순,單純,単純,simple,단순 노동,simple labor
388,,단어,單語,単語,word,단어를 외우다,memorize words
389,,단추,,,button,단추가 떨어지다,a button falls off
390,,단풍,丹楓,紅葉,autumn leaves,단풍이 들다,(leaves) turn red
391,,닫다,,,close,문을 닫다,close the door
392,,달,,,month,다음 달,next month
393,,달걀,,,egg,달걀을 삶다,boil an egg
394,,달다,,,sweet,맛이 달다,taste is sweet
395,,달력,,,calendar,달력을 걸다,hang a calendar
396,,달리기,,,running,달리기가 빠르다,ran fast
397,,달리다,,,run,빨리 달리다,ran fast
398,,닭,,,chicken,닭을 키우다,raise chickens
399,,닭고기,,,chicken meat,닭고기를 볶다,fry chicken
400,,닮다,,,resemble,아빠를 닮다,look like father
401,,담배,,,"tobacco, cigar",담배를 피우다,smoke a cigarette
402,,답,答,答,answer,답이 없다,no answer
403,,답답하다,,,stuffy,가슴이 답답하다,feel pressure (in one's heart)
404,,답장,答狀,答状,reply,답장을 보내다,send a reply
405,,대,臺,台,(unit of machines),차 한 대,one car
406,,대구,大邱,大邱,Daegu,대구에 살다,live in Daegu
407,,대답,對答,対答,answer,대답을 기다리다,wait for an answer
408,,대부분,大部分,大部分,most,대부분의 시간,most of the time
409,,대사관,大使館,大使館,embassy,미국 대사관,US embassy
410,,대전,大田,大田,Daejeon,지명,a place
411,,대학,大學,大学,university,대학에 들어가다,enter colleage
412,,대학교,大學校,大学校,university,대학교에 입학하다,enroll in a university
413,,대학생,大學生,大学生,college student,대학생이 되다,become a colleage student
414,,대학원,大學院,大学院,graduate school,대학원을 다니다,go to graduate school
415,,대화,對話,対話,conversation,대화를 나누다,have a conversation
416,,대회,大會,大会,competition,대회가 열리다,a contest is held
417,,댁,宅,宅,home,선생님 댁,teacher's house
418,,더,,,more,하나 더,one more
419,,더럽다,,,dirty,손이 더럽다,hands are dirty
420,,더욱,,,"more, even",더욱 좋다,even better
421,,덕분,,,thanks,부모님 덕분,thanks to my parents
422,,던지다,,,throw,공을 던지다,throw a ball
423,,덥다,,,hot,날씨가 덥다,weather is hot
424,,데려가다,,,take,아이를 데려가다,take a child
425,,데려오다,,,bring,친구를 데려오다,bring a friend
426,,데이트,,,date,데이트를 신청하다,ask for a date
427,,도,度,度,degree,영상 일 도,plus one degree
428,,도로,道路,道路,road,도로를 건너다,cross the road
429,,도서관,圖書館,図書館,library,도서관에서 공부하다,study in library
430,,도시,都市,都市,city ​​,도시를 건설하다,build a city
431,,도와주다,,,help,일을 도와주다,help with work
432,,도움,,,help,도움을 받다,receive help
433,,도착,到着,到着,arrival,도착 시간,arrival time
434,,독서,讀書,読書,reading,독서를 하다,read a book
435,,독일,獨逸,独逸,Germany,나라,country
436,,돈,,,money,돈을 벌다,earn money
437,,돈가스,,,pork cutlet,돈가스를 먹다,eat pork cutlet
438,,돌,,,stone,돌을 던지다,throw a stone
439,,돌다,,,spin,바퀴가 돌다,spin a wheel
440,,돌려주다,,,"give back, return",책을 돌려주다,return a book
441,,돌리다,,,turn,바퀴를 돌리다,turn a wheel
442,,돌아가다,,,"rotate, return",바퀴가 돌아가다,the wheel turns
443,,돌아오다,,,come back,학교에서 돌아오다,come back from school
444,,돕다,,,help,아버지를 돕다,help my father
445,,동네,洞內,洞内,"town, local",동네 사람,local people
446,,동대문,東大門,東大門,Dong Dae Moon,고적,historical site
447,,동물,動物,動物,animal,동물을 키우다,raise animals
448,,동물원,動物園,動物園,zoo,동물원에 가다,go to the zoo
449,,동생,同生,同生,brother,동생이 태어나다,my young bother is born
450,,동시,同時,同時,simultaneous,동시에 일어나다,happen at the same time
451,,동안,,,while,며칠 동안,a few days
452,,동전,銅錢,銅銭,coin,백 원짜리 동전,100 won coin
453,,동쪽,東,東,east,방향,direction
454,,돼지,,,pig,돼지를 기르다,raise a pig
455,,돼지고기,,,pork,돼지고기를 먹다,eat pork
456,,되다,,,become,배우가 되다,become an actor
457,,-되다,,,be (passive),취소되다,be cancelled
458,,된장,,,soybean paste,된장에 찍다,dip in soybean paste
459,,된장찌개,,,soybean paste stew,돤장찌개를 먹다,eat soybean paste stew
460,,두,,,two,숫자,number
461,,두껍다,,,thick,책이 두껍다,the book is thick
462,,두다,,,put,책상 위에 두다,put on the table
463,,두부,豆腐,豆腐,tofu,두부를 먹다,eat tofu
464,,두세,,,two to three,두세 개,two to three
465,,두통,頭痛,頭痛,headache,두통을 앓다,have a headache
466,,둘,,,two,숫자,number
467,,둘째,,,second,둘째 딸,second daughter
468,,뒤,,,back,뒤에 있다,be in the back
469,,뒤쪽,,,(direction) back,방향,direction
470,,드디어,,,finally,드디어 끝나다,finally finish
471,,드라마,,,drama,드라마를 보다,watch a drama
472,,드리다,,,give,용돈을 드리다,give some allowance
473,,듣다,,,listen,음악을 듣다,listen to music
474,,들다,,,cost,돈이 들다,cost money
475,,들다,,,lift,가방을 들다,carry a bag
476,,들르다,,,drop by,서점에 들르다,drop by a bookstore
477,,들리다,,,hear,소리가 들리다,hear a sound
478,,들어가다,,,enter,방으로 들어가다,enter a room
479,,들어오다,,,come into,학교로 들어오다,come into school
480,,등,,,(body) back,신체,body
481,,등산,登山,登山,climbing,등산을 가다,go climbing
482,,디자인,,,design,디자인이 예쁘다,the design is beautiful
483,,따뜻하다,,,warm,방 안이 따뜻하다,(inside) the room is warm
484,,따로,,,separately,따로 분리하다,separate
485,,딸,,,daughter,아들,son
486,,딸기,,,strawberry,과일,fruit
487,,땀,,,sweat,땀이 나다,sweat comes out
488,,땅,,,land,땅에 떨어지다,fall to the ground
489,,때,,,when,어릴 때,when I was young
490,,떠나다,,,leave,어디론가 떠나다,leave for somewhere
491,,떠들다,,,talk,시끄럽게 떠들다,talk loudly
492,,떡,,,rice cake,음식,food
493,,떡국,,,Rice cake soup,음식,food
494,,떡볶이,,,"Tteokbokki, rice cake",음식,food
495,,떨어지다,,,"drop, fall",낭떠러지로 떨어지다,fall off a cliff
496,,또,,,again,또 생기다,happen again
497,,또는,,,or,남자 또는 여자,male or female
498,,똑같다,,,same,모양이 똑같다,the shape is same
499,,똑같이,,,same,똑같이 나누다,share equally
500,,똑똑하다,,,smart,머리가 똑똑하다,be smart
501,,똑바로,,,straight,똑바로 가다,go straight
502,,뚱뚱하다,,,fat,몸매가 뚱뚱하다,body is fat
503,,뛰다,,,run,운동장을 뛰다,run on the playground
504,,뛰어가다,,,run,학교로 뛰어가다,run to school
505,,뜨겁다,,,hot,국물이 뜨겁다,the soup is hot
506,,뜨다,,,open (eye),눈을 뜨다,open one's eyes
507,,뜻,,,meaning,뜻이 어렵다,the meaning is difficult
508,,라디오,,,radio,라디오를 켜다,turn on the radio
509,,라면,,,Ramen,음식,food
510,,러시아,,,Russia,나라,country
511,,레스토랑,,,restaurant,레스토랑에서 먹다,eat at a restaurant
512,,마당,,,yard,마당이 넓다,the yard is large
513,,마르다,,,dry,물기가 마르다,(moisture) is dry
514,,마리,,,(unit of animals),한 마리,one animal
515,,마시다,,,drink,물을 마시다,drink water
516,,마을,,,village,마을에 살다,live in a village
517,,마음,,,heart,마음이 따뜻하다,have a warm heart
518,,마중,,,meet,마중을 가다,go out to meet
519,,마지막,末,末,last,마지막 경기,final match
