number	korean	example_ko	example_en
116	고향	고향이 부산이에요	my hometown is Busan
117	곧	친구가 곧 와요	friend comes soon
118	곳	좋은 곳을 찾아요	find a good place
119	공	공을 던져 주세요	throw the ball please
120	공무원	아버지는 공무원이에요	father is public official
121	공부	매일 한국어를 공부해요	study Korean every day
122	공원	주말에 공원에 가요	go to park on weekend
123	공장	공장에서 일해요	work at factory
124	공짜	오늘은 커피가 공짜예요	today coffee is free
125	공책	새 공책을 샀어요	bought new notebook
126	공항	공항까지 데려다 주세요	take me to airport
127	공휴일	내일은 공휴일이에요	tomorrow is holiday
128	과거	과거를 생각해요	think about the past
129	과일	과일을 많이 먹어요	eat a lot of fruit
130	과자	과자를 좀 주세요	give me some sweets
131	관계	좋은 관계를 유지해요	maintain good relationship
132	관광	제주도로 관광 가요	go to Jeju for tourism
133	관광객	관광객이 정말 많아요	tourists are really many
134	관광지	유명한 관광지예요	it's famous tourist destination
135	관심	한국어에 관심이 있어요	have interest in Korean
136	광고	텔레비전 광고를 봤어요	watched television advertisement
137	광주	광주에 가 봤어요	have been to Gwangju
138	괜찮다	몸이 괜찮아요	body is okay
139	괴로워하다	많이 괴로워해요	suffer a lot
140	교과서	교과서를 펴 주세요	open the textbook please
141	교사	우리 엄마는 교사예요	my mom is teacher
142	교수	김 교수님을 만났어요	met professor Kim
143	교실	교실이 너무 더워요	classroom is too hot
144	교육	교육이 중요해요	education is important
145	교통	교통이 편리해요	transportation is convenient
146	교통비	교통비가 비싸요	transportation fee is expensive
147	교통사고	어제 교통사고가 났어요	traffic accident happened yesterday
148	교환	선물을 교환했어요	exchanged gifts
149	교회	일요일에 교회에 가요	go to church on Sunday
150	구	일 더하기 구는	one plus nine is
151	구경	시내를 구경했어요	did sightseeing downtown
152	구두	검은 구두를 신어요	wear black shoes
153	구름	구름이 많이 꼈어요	clouds gathered a lot
154	구십	나이가 구십이에요	age is ninety
155	구월	구월에 개학해요	school starts in September
156	국	국이 맛있어요	soup is delicious
157	국내	국내 여행을 가요	go on domestic travel
158	국수	점심에 국수를 먹어요	eat noodles for lunch
159	국적	국적이 어디예요	where is your nationality
160	국제	국제 회의가 있어요	there is international meeting
161	군인	오빠는 군인이에요	my brother is soldier
162	굳다	땅이 꽁꽁 굳었어요	ground froze hard
163	굵다	굵은 줄을 주세요	give me thick rope
164	굽다	빵을 굽고 있어요	baking bread
165	궁금하다	정말 궁금해요	really curious
166	권	책 두 권을 샀어요	bought two volumes of books
167	귀	귀가 잘 안 들려요	can't hear well
168	귀걸이	예쁜 귀걸이를 샀어요	bought pretty earrings
169	귀여워하다	강아지를 귀여워해요	adore the puppy
170	귀엽다	귀여운 고양이예요	it's cute cat
171	귀찮다	청소가 귀찮아요	cleaning feels annoying
172	규칙	규칙을 지켜 주세요	follow the rules please
173	귤	귤이 달아요	tangerine is sweet
174	그	그 사람을 알아요	know that person
175	그거	그거 주세요	give me that
176	그것	그것이 제 거예요	that is mine
177	그곳	그곳에 가 봤어요	have been to that place
178	그날	그날이 기억나요	remember that day
179	그냥	그냥 집에 있어요	just stay at home
180	그대로	그대로 두세요	leave it as is
181	그동안	그동안 잘 지냈어요	did well in the meantime
182	그때	그때가 좋았어요	that time was good
183	그래	그래, 알겠어요	yes, I understand
184	그래서	바빠서 그래서 못 갔어요	was busy so therefore couldn't go
185	그러나	열심히 했어요. 그러나 실패했어요	tried hard but failed
186	그러니까	피곤해요. 그러니까 쉬어요	I'm tired so rest
187	그러면	그러면 내일 봐요	then see you tomorrow
188	그러므로	비가 와요. 그러므로 우산이 필요해요	it's raining therefore need umbrella
189	그런	그런 일이 있었어요	such thing happened
190	그런데	바빴어요. 그런데 재미있었어요	was busy by the way it was fun
191	그럼	그럼 다음에 봐요	then see you next time
192	그럼	그럼, 좋아요	yes, of course, good
193	그렇다	네, 그래요	yes, that's right
194	그렇지만	비싸요. 그렇지만 좋아요	it's expensive but it's good
195	그릇	그릇을 씻어 주세요	wash the bowl please
196	그리고	커피를 마셔요. 그리고 빵을 먹어요	drink coffee and eat bread
197	그리다	그림을 그려요	draw a picture
198	그림	그림이 정말 예뻐요	picture is really pretty
199	그립다	고향이 그리워요	miss my hometown
200	그만	이제 그만 하세요	stop now please
201	그만두다	일을 그만뒀어요	quit the job
202	그분	그분을 찾아요	looking for him
203	그저께	그저께 만났어요	met day before yesterday
204	그쪽	그쪽으로 가세요	go that way please
205	그치다	비가 그쳤어요	rain stopped
206	극장	극장에서 영화 봐요	watch movie at theater
207	근처	학교 근처에 살아요	live near school
208	글	글을 써요	write writing
209	글쎄	글쎄, 모르겠어요	well, I don't know
210	글쎄요	글쎄요, 어려워요	well, it's difficult
211	글씨	글씨가 예뻐요	handwriting is pretty
212	글자	글자를 읽어요	read the letters
213	금방	금방 끝날 거예요	will finish in a moment
214	금요일	금요일에 만나요	meet on Friday
215	금지	주차 금지예요	parking is prohibited
216	급하다	급한 일이 있어요	have urgent business
217	기간	기간이 짧아요	period is short
218	기다리다	친구를 기다려요	wait for friend
219	기르다	고양이를 기르고 있어요	raising a cat
220	기름	기름을 좀 주세요	give me some oil
221	기말시험	기말시험이 어려웠어요	final exam was difficult
222	기분	오늘 기분이 좋아요	mood is good today
223	기뻐하다	합격해서 기뻐해요	happy because passed
224	기쁘다	정말 기쁜 소식이에요	it's really happy news
225	기쁨	기쁨을 나눠요	share the pleasure
226	기숙사	기숙사에서 살아요	live in dormitory
227	기억	좋은 기억이 있어요	have good memories
228	기억나다	이름이 기억나요	remember the name
229	기온	오늘 기온이 높아요	today's temperature is high
230	기자	기자를 만났어요	met the reporter
231	기차	기차를 타고 가요	go by train
232	기차역	기차역에서 만나요	meet at train station
233	기차표	기차표를 예매했어요	booked train ticket
234	기침	기침이 많이 나요	cough a lot
235	기타	그 기타 것들이에요	those other things
236	기회	좋은 기회가 왔어요	good opportunity came
237	긴장	너무 긴장했어요	was too nervous
238	길	길이 막혀요	road is blocked
239	길다	머리가 길어요	hair is long
240	길이	길이를 재 주세요	measure the length please
241	김	김을 좀 주세요	give me some seaweed
242	김밥	김밥을 싸 왔어요	brought kimbap
243	김치	김치가 맵지 않아요	kimchi is not spicy
244	김치찌개	김치찌개를 끓여요	boil kimchi stew
245	깊다	물이 깊어요	water is deep
246	깊이	깊이를 몰라요	don't know the depth
247	까만색	까만색 옷을 샀어요	bought black color clothes
248	까맣다	머리가 까매요	hair is black
249	깎다	머리를 깎았어요	cut my hair
250	깜짝	깜짝 놀랐어요	was startled
251	깨끗이	방을 깨끗이 청소했어요	cleaned room cleanly
252	깨끗하다	깨끗한 물을 주세요	give me clean water
253	깨다	아침 일찍 깼어요	woke up early morning
254	꺼내다	가방에서 책을 꺼내요	take out book from bag
255	껌	껌을 씹어요	chew chewing gum
256	꼭	꼭 오세요	surely come please
257	꽃	꽃이 정말 예뻐요	flower is really pretty
258	꽃다발	꽃다발을 받았어요	received bouquet
259	꽃병	꽃을 꽃병에 꽂아요	put flower in vase
260	꽃집	꽃집에서 장미를 샀어요	bought rose at flower shop
261	꾸다	꿈을 꿨어요	had a dream
262	꿈	좋은 꿈을 꿨어요	had good dream
263	끄다	불을 꺼 주세요	turn off light please
264	끊다	담배를 끊었어요	quit tobacco
265	끓다	물이 끓고 있어요	water is boiling
266	끓이다	국을 끓여요	boil soup
267	끝	이야기의 끝을 봤어요	saw the end of story
268	끝나다	수업이 끝났어요	class ended
269	끝내다	일을 끝냈어요	finished the work
270	끼다	장갑을 끼세요	wear gloves please
271	나	나는 학생이에요	I am student
272	나가다	밖으로 나가요	go out outside
273	나누다	친구랑 나눠 먹어요	divide and eat with friend
274	나다	불이 났어요	fire happened
275	나라	한국은 좋은 나라예요	Korea is good country
276	나머지	나머지는 내일 해요	do the remainder tomorrow
277	나무	나무가 크게 자랐어요	tree grew big
278	나쁘다	나쁜 사람이 아니에요	not bad person
279	나오다	집에서 나와요	come out from home
280	나이	나이가 어떻게 돼요	how old are you
281	나중	나중에 전화할게요	will call later
282	나타나다	갑자기 나타났어요	appeared suddenly
283	나흘	나흘 동안 여행했어요	traveled for four days
284	낚시	주말에 낚시를 가요	go fishing on weekend
285	날	좋은 날이 올 거예요	good day will come
286	날다	새가 하늘을 날아요	bird flies in sky
287	날씨	오늘 날씨가 좋아요	today's weather is good
288	날씬하다	날씬한 몸매예요	it's slim figure
289	날아다니다	나비가 날아다녀요	butterfly flies around
290	날짜	날짜를 정해 주세요	set the date please
291	남	남의 것을 가져가요	take other people's things
292	남기다	음식을 남겼어요	left food
293	남녀	남녀가 함께 일해요	male and female work together
294	남다	음식이 많이 남았어요	food remained a lot
295	남대문	남대문에 가 봤어요	have been to Namdaemun
296	남동생	남동생이 두 명이에요	have two younger brothers
297	남산	남산에 올라갔어요	climbed up Namsan
298	남성	남성 화장실은 어디예요	where is male restroom
299	남자	남자 친구가 있어요	have male friend
300	남쪽	남쪽으로 가세요	go to the south
301	남편	남편을 사랑해요	love my husband
302	남학생	남학생이 많아요	male students are many
303	낫다	감기가 다 나았어요	cold recovered completely
304	낫다	이게 더 나아요	this is better
305	낮	낮에 일해요	work in daytime
306	낮다	책상이 너무 낮아요	desk is too low
307	낮잠	점심 후에 낮잠을 자요	take nap after lunch
308	내	내 가방이에요	it's my bag
309	내과	내과에 가야 해요	need to go to internal medicine
310	내년	내년에 결혼해요	get married next year
311	내다	숙제를 내세요	submit homework please
312	내려가다	아래로 내려가요	go down below
313	내려오다	산에서 내려와요	come down from mountain
314	내리다	버스에서 내려요	get off the bus
315	내용	내용을 확인해요	check the content
316	내일	내일 만나요	meet tomorrow
317	냄비	냄비에 물을 끓여요	boil water in pot
318	냄새	좋은 냄새가 나요	good smell comes
319	냉면	여름에 냉면을 먹어요	eat cold noodles in summer
320	냉장고	냉장고에 넣어 주세요	put in refrigerator please
321	너	너는 학생이에요	you are student
322	너무	너무 예뻐요	too pretty
323	너희	너희 집은 어디예요	where is your house
324	넓다	넓은 방을 찾아요	look for wide room
325	넘다	선을 넘었어요	crossed over the line
326	넘어지다	길에서 넘어졌어요	fell down on road
327	넣다	가방에 책을 넣어요	put book in bag
328	네	네가 좋아요	I like you
329	네	하나 둘 셋 네	one two three four
330	네	네, 알겠습니다	yes, I understand
331	넥타이	넥타이를 매요	tie the necktie
332	넷	모두 넷이에요	all together four
333	넷째	넷째 아들이에요	fourth son
334	년	십 년이 지났어요	ten years passed
335	노란색	노란색 꽃을 샀어요	bought yellow color flowers
336	노랗다	노란 바나나를 먹어요	eat yellow banana
337	노래	노래를 잘 불러요	sing song well
338	노래방	친구랑 노래방에 가요	go to karaoke with friend
339	노력	열심히 노력해요	try hard with effort
340	노인	노인을 도와 드려요	help old man
341	노트	노트에 적어 주세요	write in note please
342	녹색	녹색 옷을 입어요	wear green clothes
343	녹차	녹차를 마셔요	drink green tea
344	놀다	친구랑 놀아요	play with friend
345	놀라다	깜짝 놀랐어요	was surprised
346	놀이	재미있는 놀이예요	it's fun game
347	농구	농구를 좋아해요	like basketball
348	농담	농담을 했어요	made a joke
349	높다	산이 높아요	mountain is high
350	높이	높이를 재요	measure the height
351	높이	손을 높이 들어요	raise hand highly
352	놓다	책상 위에 놓으세요	put on desk please
353	누구	누구를 찾으세요	who are you looking for
354	누나	누나가 두 명이에요	have two older sisters
355	누르다	버튼을 눌러 주세요	press the button please
356	눈	눈이 아파요	eye hurts
357	눈	눈이 많이 와요	snow comes a lot
358	눈물	눈물이 나요	tears come out
359	눕다	침대에 누워요	lie down on bed
360	뉴스	뉴스를 봐요	watch news
361	느끼다	행복을 느껴요	feel happiness
362	느낌	좋은 느낌이에요	it's good feeling
363	느리다	인터넷이 너무 느려요	internet is too slow
364	늘	늘 고마워요	always thank you
365	늘다	살이 늘었어요	weight increased
366	늙다	많이 늙었어요	got old a lot
367	능력	능력이 뛰어나요	ability is excellent
368	늦다	약속에 늦었어요	late for appointment
369	다	다 먹었어요	ate all
370	다녀오다	학교 다녀올게요	will be back from school
371	다니다	회사에 다녀요	go to company
372	다르다	생각이 달라요	thoughts are different
373	다른	다른 것을 주세요	give me different thing
374	다리	다리가 길어요	leg is long
375	다리	한강 다리를 건너요	cross Han River bridge
376	다림질	옷을 다림질해요	iron the clothes
377	다섯	사과 다섯 개예요	five apples
378	다섯째	다섯째 줄에 앉아요	sit in fifth row
379	다시	다시 한번 말해 주세요	say again once please
380	다양	다양한 음식이 있어요	various foods exist
381	다음	다음 주에 만나요	meet next week
382	다음날	다음날 아침에 일어났어요	woke up next day morning
383	다이어트	다이어트를 시작했어요	started diet
384	다치다	손을 다쳤어요	hurt my hand
385	다하다	최선을 다해요	do my best
386	닦다	신발을 닦아요	polish the shoes
387	단순	단순한 문제예요	it's simple problem
388	단어	새 단어를 배워요	learn new words
389	단추	단추를 달아 주세요	attach the button please
390	단풍	가을에 단풍을 봐요	see autumn leaves in fall
391	닫다	문을 닫아 주세요	close the door please
392	달	이번 달은 바빠요	this month is busy
393	달걀	달걀을 삶아요	boil the egg
394	달다	사탕이 달아요	candy is sweet
395	달력	달력을 봐요	look at calendar
396	달리기	매일 달리기를 해요	do running every day
397	달리다	빨리 달려요	run fast
398	닭	닭을 키워요	raise chicken
399	닭고기	닭고기를 좋아해요	like chicken meat
400	닮다	아버지를 닮았어요	resemble my father
401	담배	담배를 피우지 마세요	don't smoke tobacco
402	답	답을 찾았어요	found the answer
403	답답하다	가슴이 답답해요	chest feels stuffy
404	답장	답장을 보냈어요	sent reply
405	대	컴퓨터 세 대가 있어요	there are three computers
406	대구	대구에 살아요	live in Daegu
407	대답	질문에 대답해 주세요	answer the question please
408	대부분	대부분의 사람이 좋아해요	most people like it
409	대사관	한국 대사관에 가요	go to Korean embassy
410	대전	대전에서 왔어요	came from Daejeon
411	대학	대학을 졸업했어요	graduated from university
412	대학교	대학교에 다녀요	go to university
413	대학생	저는 대학생이에요	I am college student
414	대학원	대학원에 진학해요	enter graduate school
415	대화	친구랑 대화를 해요	have conversation with friend
416	대회	대회에 참가했어요	participated in competition
417	댁	선생님 댁은 어디예요	where is teacher's home
418	더	물을 더 주세요	give me more water
419	더럽다	옷이 더러워요	clothes are dirty
420	더욱	더욱 열심히 해요	do more harder
421	덕분	선생님 덕분이에요	thanks to teacher
422	던지다	공을 던져요	throw the ball
423	덥다	오늘 날씨가 더워요	today's weather is hot
424	데려가다	병원에 데려가요	take to hospital
425	데려오다	집으로 데려왔어요	brought to home
426	데이트	남자친구랑 데이트해요	date with boyfriend
427	도	온도가 20도예요	temperature is 20 degrees
428	도로	도로가 넓어요	road is wide
429	도서관	도서관에서 공부해요	study at library
430	도시	서울은 큰 도시예요	Seoul is big city
431	도와주다	친구를 도와줘요	help the friend
432	도움	도움이 필요해요	need help
433	도착	공항에 도착했어요	arrived at airport
434	독서	주말에 독서를 해요	do reading on weekend
435	독일	독일에 가 봤어요	have been to Germany
436	돈	돈이 필요해요	need money
437	돈가스	점심에 돈가스를 먹어요	eat pork cutlet for lunch
438	돌	돌이 많아요	stones are many
439	돌다	지구가 돌아요	earth spins
440	돌려주다	책을 돌려줬어요	gave book back
441	돌리다	고개를 돌려요	turn my head
442	돌아가다	집으로 돌아가요	return home
443	돌아오다	여행에서 돌아왔어요	came back from travel
444	돕다	친구를 도와요	help friend
445	동네	우리 동네가 좋아요	our town is nice
446	동대문	동대문에서 쇼핑해요	shop at Dong Dae Moon
447	동물	동물을 좋아해요	like animals
448	동물원	주말에 동물원에 가요	go to zoo on weekend
449	동생	동생이 세 명이에요	have three younger siblings
450	동시	동시에 시작해요	start simultaneously
451	동안	일주일 동안 쉬어요	rest for one week
452	동전	동전이 많아요	coins are many
453	동쪽	동쪽으로 가세요	go to east
454	돼지	돼지를 키워요	raise pig
455	돼지고기	돼지고기를 먹어요	eat pork
456	되다	의사가 되고 싶어요	want to become doctor
457	-되다	회의가 시작되었어요	the meeting has started
458	된장	된장이 짜요	soybean paste is salty
459	된장찌개	된장찌개를 끓여요	boil soybean paste stew
460	두	사과 두 개예요	two apples
461	두껍다	두꺼운 책을 샀어요	bought thick book
462	두다	책상 위에 둬요	put on desk
463	두부	두부를 좋아해요	like tofu
464	두세	두세 시간 걸려요	takes two to three hours
465	두통	두통이 심해요	headache is severe
466	둘	모두 둘이에요	all together two
467	둘째	둘째 아들이에요	second son
468	뒤	뒤에 앉아요	sit in back
469	뒤쪽	뒤쪽으로 가세요	go to back direction
470	드디어	드디어 도착했어요	finally arrived
471	드라마	한국 드라마를 봐요	watch Korean drama
472	드리다	선물을 드려요	give gift
473	듣다	음악을 들어요	listen to music
474	들다	돈이 많이 들어요	costs a lot of money
475	들다	짐을 들어 주세요	lift the luggage please
476	들르다	집에 잠깐 들러요	drop by home briefly
477	들리다	소리가 잘 들려요	sound is heard well
478	들어가다	방에 들어가요	enter the room
479	들어오다	교실에 들어와요	come into classroom
480	등	등이 아파요	back hurts
481	등산	주말에 등산을 가요	go climbing on weekend
482	디자인	디자인이 예뻐요	design is pretty
483	따뜻하다	따뜻한 물을 주세요	give me warm water
484	따로	따로 계산해 주세요	calculate separately please
485	딸	딸이 두 명이에요	have two daughters
486	딸기	딸기가 달아요	strawberry is sweet
487	땀	땀을 많이 흘려요	sweat a lot
488	땅	땅을 팔아요	sell land
489	때	그때가 좋았어요	that time was good
490	떠나다	고향을 떠났어요	left hometown
491	떠들다	시끄럽게 떠들어요	talk noisily
492	떡	떡을 먹어요	eat rice cake
493	떡국	설날에 떡국을 먹어요	eat rice cake soup on New Year
494	떡볶이	떡볶이가 맵지 않아요	tteokbokki is not spicy
495	떨어지다	사과가 떨어졌어요	apple fell
496	또	또 만나요	meet again
497	또는	커피 또는 차를 마셔요	drink coffee or tea
498	똑같다	크기가 똑같아요	size is same
499	똑같이	똑같이 나눠 주세요	divide equally please
500	똑똑하다	똑똑한 학생이에요	it's smart student
501	똑바로	똑바로 서세요	stand straight please
502	뚱뚱하다	조금 뚱뚱해요	a little fat
503	뛰다	운동장에서 뛰어요	run on playground
504	뛰어가다	학교로 뛰어가요	run to school
505	뜨겁다	뜨거운 물을 조심해요	be careful of hot water
506	뜨다	눈을 떠 주세요	open eyes please
507	뜻	단어의 뜻을 몰라요	don't know word's meaning
508	라디오	라디오를 들어요	listen to radio
509	라면	라면을 끓여요	boil ramen
510	러시아	러시아에 가 봤어요	have been to Russia
511	레스토랑	유명한 레스토랑이에요	it's famous restaurant
512	마당	마당이 넓어요	yard is wide
513	마르다	빨래가 다 말랐어요	laundry dried completely
514	마리	강아지 두 마리가 있어요	have two puppies
515	마시다	물을 마셔요	drink water
516	마을	작은 마을이에요	it's small village
517	마음	마음이 편해요	heart is comfortable
518	마중	공항에 마중 나가요	go to airport to meet
519	마지막	이게 마지막이에요	this is last
520	마치다	숙제를 마쳤어요	finished homework
521	마트	마트에서 장을 봐요	shop at mart
522	마흔	나이가 마흔이에요	age is forty
523	막걸리	막걸리를 좋아해요	like makgeolli
524	막히다	길이 막혔어요	road is blocked
525	만	인구가 백만이에요	population is ten thousand hundred
526	만나다	친구를 만나요	meet friend
527	만두	만두를 쪄요	steam dumplings
528	만들다	케이크를 만들어요	make cake
529	만약	만약 비가 오면	if it rains
530	만일	만일을 대비해요	prepare just in case
531	만지다	손으로 만지지 마세요	don't touch with hand
532	만화	만화를 좋아해요	like cartoon
533	많다	사람이 많아요	people are many
534	많이	물을 많이 마셔요	drink water a lot
535	말	할 말이 있어요	have talk to say
536	말	말을 타 봤어요	rode a horse
537	말	이달 말에 만나요	meet at end of month
538	말다	걱정하지 마세요	don't worry please
539	말레이시아	말레이시아에 살아요	live in Malaysia
540	말씀	좋은 말씀 감사해요	thank you for kind words
541	맑다	하늘이 맑아요	sky is clear
542	맛	맛이 좋아요	taste is good
543	맛없다	이 음식은 맛없어요	this food is not delicious
544	맛있다	정말 맛있어요	really delicious
545	맞다	대답이 맞아요	answer is right
546	맞추다	시간을 맞춰 주세요	adjust the time please
547	매년	매년 여행을 가요	travel every year
548	매다	신발 끈을 매요	tie the shoelaces
549	매달	매달을 받았어요	received medal
550	매우	매우 기뻐요	very happy
551	매일	매일 운동해요	exercise everyday
552	매주	매주 일요일에 만나요	meet every Sunday weekly
553	매표소	매표소에서 표를 사요	buy ticket at ticket box
554	맥주	맥주를 한잔 마셔요	drink one beer
555	맵다	김치가 매워요	kimchi is spicy
556	머리	머리가 아파요	head hurts
557	머리카락	머리카락이 길어요	hair is long
558	먹다	밥을 먹어요	eat rice
559	먼저	먼저 가세요	go first please
560	멀다	집이 멀어요	house is far
561	멀리	멀리 가지 마세요	don't go far
562	멈추다	차가 멈췄어요	car stopped
563	멋	멋이 있어요	has fashion
564	멋있다	정말 멋있어요	really cool
565	메뉴	메뉴를 보여 주세요	show me menu please
566	메다	가방을 메요	carry the bag
567	메모	메모를 했어요	made memo
568	메시지	메시지를 보냈어요	sent message
569	메일	메일을 확인해요	check mail
570	며칠	며칠 동안 쉬어요	rest for several days
571	명	학생이 열 명이에요	there are ten students
572	명절	명절에 고향에 가요	go to hometown on holiday
573	몇	사과가 몇 개예요	how many apples
574	모기	모기가 많아요	mosquitoes are many
575	모두	모두 왔어요	all came
576	모든	모든 사람이 좋아해요	every person likes it
577	모레	모레 만나요	meet day after tomorrow
578	모르다	이름을 몰라요	don't know the name
579	모습	아름다운 모습이에요	it's beautiful appearance
580	모시다	할머니를 모셔요	look after grandmother
581	모양	모양이 예뻐요	shape is pretty
582	모으다	돈을 모아요	gather money
583	모이다	사람들이 모였어요	people gathered
584	모임	내일 모임이 있어요	have meeting tomorrow
585	모자	모자를 써요	wear hat
586	모자라다	돈이 모자라요	money is insufficient
587	목	목이 아파요	neck hurts
588	목걸이	목걸이를 샀어요	bought necklace
589	목도리	목도리를 매요	wear scarf
590	목소리	목소리가 커요	voice is loud
591	목요일	목요일에 만나요	meet on Thursday
592	목욕	목욕을 했어요	took bath
593	목욕탕	목욕탕에 가요	go to bathhouse
594	목적	여행의 목적이 뭐예요	what is purpose of travel
595	몸	몸이 건강해요	body is healthy
596	못	한국말을 못 해요	can't speak Korean
597	못생기다	못생긴 사람이 아니에요	not ugly person
598	못하다	수영을 못해요	can't swim
